video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7280718462438149419,2023-09-19T21:46:14,13,US,"luisito comunica paris, Paris Reality, Paris, paris rats, paris reality rats, paris instagram vs reality, reality vs instagram, social media versus reality, social media vs reality travel, Paris Expectation Vs Reality",586100,89200,5162,16300000,Do you know which cities these are?Captured here from: @parisfranceofficial@Barbora Ondrackova@Ｏｍｅｅｚｚｙ@ACQUIRED STYLE@Dr. Shna@Валерия Генне@yunobi@ximemontesdeoca@tiktokvenezia@axxtherese@Qing loves to travel@tiktokvenezia@Hannah Lawther@Macy-Leigh@Uday,False,,qeeq.com,QEEQ.com,,,,,,False
7280167569674325281,2023-09-18T10:08:28,60,GB,,108700,4780,284,1200000,#fyp #foryou #foryoupage #viral ,False,,bthaslyonebackup,Beezy,,,,,,False
7280282061095570734,2023-09-18T17:32:54,12,US,,112200,1381,171,937600,Literally every ounce of stress exits my body 🥲 ,False,,radhika.p18,Radhika,,,,,,False
7279035008512281862,2023-09-15T08:53:29,22,KE,,39300,5312,1206,314700,#stitch with @Antoni 💅🏾✨ #tiktoknairobi ,False,,anyamizi,Nyamizi 🧚🏾‍♀️ 💖✨🇰🇪,,,,,,False
7277347908456877355,2023-09-10T19:46:51,9,US,,451000,113600,1430,13600000,Life Hacks #freecomedy #themannii ,False,,the_mannii,The Mannii Show,,,,,,True
7274342464637455659,2023-09-02T17:24:11,5,US,,2000000,460200,7324,18500000,#fyp #foryou ,False,,thebritmanuela,Brit Manuela,,,,,,False
7269485588896664878,2023-08-20T15:16:58,5,US,"Shoulder Pain Relief, back stretches, Back Pain Relief, Stretch Exercises, Back Stretches For Pain, back cracks, Back Muscles, Back Exercise Tips, How To Get Rid Of Back Pain, Upper Back Stretches",712400,90200,1988,17300000,Back stretch and self release #backpainrelief #backcracks #trending #viral ,False,,moorewellness,Moore Wellness,,,,,,False
7265709915715505440,2023-08-10T11:05:23,18,IE,,198900,75000,3283,1400000,#fyp #victoralfred11 #foryoupage #foryou #blackmango ,False,,victoralfred11,Victor Alfred,,,,,,False
7274997297480469765,2023-09-04T11:45:06,8,ZM,,3800000,456000,40000,19700000,As long as one of us do it and share the notes💀🤣 #fyp #foryou #morepassion #viral #student #university #school #learning #tiktoksouthafrica ,False,,sharaesingh,Sharae Singh,,,,,,False
7270849896444448006,2023-08-24T07:31:04,9,TR,,504500,28500,704,4300000,Always better and cheaper #internationalstudentlife #internationalstudentstruggles #studyingabroad #fyyyp#kesfet#keşfet #fypシ゚viral #foru#foryourpage#cyprus#student#studentlife ,False,,paarvaa,Imparva,,,,,,False
7273996569546853674,2023-09-01T19:01:54,194,US,,592400,73200,6480,3400000,WHO’S JOINING ME?! 🧡 #jesusgal #thejesuschallenge #jesusisking #relationshipwithgod #christiantiktok #youvebeenchallenged #jesusfollower #spendingtimewithgod #godsgirl ,False,,madelinegrace__,MadelineGrace,,,,,,False
7270988452223520043,2023-08-24T16:28:55,17,US,"Amazon Car Must Haves, amazon must haves, car must haves, Amazon Finds Must Haves For Your Car, Car Amazon Finds, Amazon Items Must Haves, The Tote Bag Marc Jacobs, Car Finds, Marc Jacobs Tote Bag, Amazon",171300,26500,357,3600000,In my storefr0nt under “car must-haves” or DM me C444 for l!nks! #amazoncarfinds2023 #amazonorganization #amazonmusthaves2023 ,False,,girlyyouarebeautiful,Jen | Amazon finds,,,,,,False
7270187574407269674,2023-08-22T12:41:09,68,US,"rideable luggage, amazon finds, Amazon Finds Travel, luggage, Travel Gadgets, Travel Products, Travel Finds, Amazon Travel Luggage, Amazon, Gadgets Amazon",203900,9134,491,2200000,Number 2 is my fav 😅🙌🏼 #travel #travelgadgets #travelproducts #airport #portable #gadgets #amazonfinds #justicebuys #,False,,justicebuys,Justice Buys,,,,,,False
7271271161634376992,2023-08-25T10:45:51,27,GB,,507700,87000,1876,3800000,i never want to go home🥺😭 #phuketthailand #thailandtiktok #thailandhotel #phuket #phukethotel #thailandtravel #blackgirl ,False,,h4real_,H4REAL,,,,,,False
7255428349651209477,2023-07-13T18:07:37,18,CA,,295300,31900,1078,5800000,This one is so handy and functional! 😍 🌊 #amazonbestseller #amazonmusthaves2023 #amazonmademebuyit #amazonhomefinds #amazonhacks #waterbottle #aquastand #rhinoshield #rhinoshieldpartner @RHINOSHIELD ,False,,sam.shan.shops,Sam Shan Shops 🦋,,,,,,False
7271553610536848645,1969-12-31T19:00:00,,,,,,,,,False,,,,,,,,,False
7259505958118853931,2023-07-24T17:50:58,64,US,"amazon finds, human dog bed, top 15 amazon products, tiktok made me buy it, Electric Pot, tiktokmademebuyit, trolly dolly, smart trash can, Amazon, bed tent",6200000,481200,18400,68900000,Number 3 is my fav 🙌🏼😂 #amazonfinds #gadgets #justicebuys #productreview #tiktokmademebuyit #amazonfinds ,False,,justicebuys,Justice Buys,,,,,,False
7257210226326342958,2023-07-18T13:22:16,30,US,"Feilario Luggage, Amazon Luggage Set, best carry on luggage, felario luggage amazon, carry on luggage, feilario luggage price, Travel Essentials, Amazon Carry On Luggage, Best Amazon Carry On Luggage, Amazon Travel Must Haves",1400000,129600,3374,16700000,Best selling carry on suitcase on Amazon! #founditonamazon #amazonbestseller #travelmusthaves ,False,,lifetipsfromus,LifeTipsFromUs | Amazon Finds,,,,,,False
7269466654097083654,2023-08-20T14:03:23,14,CA,,3800000,894100,79500,21100000,The beauty museum featuring you😌 #arab #asaladabke ,False,,asaladabke,Asala Dabke,,,,,,False
